,Brand,Name of the product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
123,Blueberry,"Blueberry B-D38, 38"" Acoustic Guitar Kit Inbuilt Truss Rod, with Bag, Strap, One Pack Strings And Picks (MAROON BROWN)","2,895",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzk0OTkxMjMxMDg1Nzk1OjE2OTEyODczMjQ6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODUwOTg6OjA6Og&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB0B74CSY9V%2Fref%3Dsr_1_100_sspa%3Fkeywords%3Dguitar%26qid%3D1691287324%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
124,Cort,Cort MR500E Dreadnought Cutaway Electro Acoustic Guitar -Brown Burst,"22,489",7 days Replacement,"Monday, 14 August",Only 1 left in stock,https://www.amazon.in/MR500E-Dreadnought-Cutaway-Electro-Acoustic/dp/B07L1525NT/ref=sr_1_101?keywords=guitar&qid=1691287324&sr=8-101
125,YAMAHA,"Yamaha Electric-Acoustic Guitar FSX80C Dreadnought With With Mexa Sponge Bag, Guitar Belt, Guitar Stand, String Set & Plectrums.(NT) Natural","13,790",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/Yamaha-Electric-Acoustic-FSX80C-Dreadnought-Plectrums/dp/B09HSJ6GPQ/ref=sr_1_102?keywords=guitar&qid=1691287324&sr=8-102
126,JUAREZ,"JUAREZ Arpeggio Guitar JRA39SR-BL-K, blue","7,131",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA39SR-BL-K-blue/dp/B08MWB5Y67/ref=sr_1_103?keywords=guitar&qid=1691287324&sr=8-103
127,YAMAHA,"YAMAHA F310-TBS Right Handed Spruce, Back/Side/Rib, Meranti Acoustic Guitar (Tobacco Sunburst, 6-Strings)","10,875",7 days Replacement,"Saturday, 12 August",In stock,https://www.amazon.in/Yamaha-6-String-Acoustic-Right-Handed-Sunburst/dp/B000WITGQO/ref=sr_1_104?keywords=guitar&qid=1691287324&sr=8-104
128,HOVNER,"Hovner 215 Royal Metallic Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks","4,350",7 days Replacement,"Thursday, 17 August",In stock,https://www.amazon.in/Hovner-Royal-Metallic-Rosewood-Fretboard/dp/B09RG6ZMWL/ref=sr_1_105?keywords=guitar&qid=1691287324&sr=8-105
129,YAMAHA,"Yamaha F310, 6-Strings Acoustic Guitar, (YAMAHAF310TBS Bundle, Sunburst)","10,499",7 days Replacement,"Tuesday, 8 August",Only 2 left in stock,https://www.amazon.in/Yamaha-6-Strings-Acoustic-YAMAHAF310TBS-Sunburst/dp/B07ZVQ4ZCK/ref=sr_1_106?keywords=guitar&qid=1691287324&sr=8-106
130,Cort,"Cort 6 Strings Acoustic Guitar, Spruce Top Brown With Padded Bag, Belt, Mahogany Back & Sides, Plectrums & Guitar Tuner Complete Pack AD810-OP","10,941",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_107?keywords=guitar&qid=1691287324&sr=8-107
131,JUAREZ,"JUAREZ Arpeggio 99.06 cm (39 Inch) Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, Chrome Die Cast Machine Tuners, Black","5,699",7 days Replacement,"Thursday, 10 August",In stock,https://www.amazon.in/JUAREZ-Arpeggio-Acoustic-Rosewood-Fretboard/dp/B08LBHB547/ref=sr_1_108?keywords=guitar&qid=1691287324&sr=8-108
132,VAULT,Vault ST1 Premium Electric Guitar - White,"7,599",7 days Replacement,"Tuesday, 8 August",Only 1 left in stock,https://www.amazon.in/Vault-ST1-Premium-Electric-Guitar/dp/B09GLYSJ8W/ref=sr_1_109?keywords=guitar&qid=1691287324&sr=8-109
133,Kadence,"Kadence A281 Professional Acoustic Rosewood guitar (Natural, Beige)","6,499",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Kadence-Professional-Acoustic-Rosewood-Natural/dp/B0CC927DLN/ref=sr_1_110?keywords=guitar&qid=1691287324&sr=8-110
134,Kadence,"Kadence Frontier Series Semi Acoustic Guitar With Die Cast Keys Natural Super Combo, Capo, Bag, strap, strings and 3 picks)","5,999",7 days Replacement,"Friday, 11 August",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Foldable/dp/B01I50UMPO/ref=sr_1_111?keywords=guitar&qid=1691287324&sr=8-111
135,JUAREZ,"Juârez JRZ38C/VTS 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Violet/Purple with Bag, Strings, Picks and Strap","2,489",7 days Replacement,"Wednesday, 9 August",In stock,https://www.amazon.in/JRZ38C-VTS-Strings-Acoustic-Cutaway/dp/B072MFLQC9/ref=sr_1_112?keywords=guitar&qid=1691287324&sr=8-112
136,JUAREZ,JUAREZ Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,-,Returns Policy,-,,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_113?keywords=guitar&qid=1691287324&sr=8-113
