,Dataset name,Data type,Task,Attribute type,No of instances,No of attribute,Date Donated,Year
6,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,06M,3,2/23/2020,2020
7,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,91K,128,4/24/2012,2012
8,Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5,11/1/2018,2018
9,Sepsis Survival Minimal Clinical Records,Multivariate,Classification,Integer,34K,3,7/9/2023,2023
10,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,44K,11,7/14/2016,2016
11,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,N/A,-
12,Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,75K,7,2/17/2020,2020
13,Amphibians,Multivariate,Classification,"Integer, Real",189,23,7/16/2020,2020
14,Gait Classification,Multivariate,Classification,Real,48,321,10/13/2020,2020
15,2D elastodynamic metamaterials,Tabular,Regression,N/A,52K,1,11/25/2021,2021
16,Breast Tissue,Multivariate,Classification,Real,106,10,5/9/2010,2010
17,Wave Energy Converters,Multivariate,Regression,Real,288K,49,6/29/2019,2019
18,Wireless Indoor Localization,Multivariate,Classification,Real,2K,7,12/3/2017,2017
19,Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,20K,-,3/10/2020,2020
20,Speaker Accent Recognition,Multivariate,Classification,Real,329,12,3/3/2020,2020
21,Swarm Behaviour,Multivariate,Classification,Real,02K,-,6/15/2020,2020
22,Stock keeping units,Multivariate,Clustering,"Integer, Real",28K,9,4/9/2019,2019
23,Exasens,Multivariate,"Classification, Clustering",Integer,399,4,4/21/2020,2020
24,Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,16,11/12/2013,2013
0,HTRU2,Multivariate,"Classification, Clustering",Real,285,17,6/30/1988,1988
1,Air quality,"Multivariate, Time-Series",Regression,Real,4K,500,2/28/2008,2008
2,Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",18,9,10/6/2019,2019
3,PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,58K,-,2/18/2018,2018
4,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,463,90,4/22/1999,1999
5,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series","Classification, Regression",Integer,59K,256,11/10/2008,2008
6,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,74K,561,3/8/2016,2016
7,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,540,18,6/17/2013,2013
8,Caesarian Section Classification Dataset,Univariate,Classification,Integer,85K,86,7/17/2017,2017
9,Sepsis Survival Minimal Clinical Records,Multivariate,Classification,Integer,05K,529,9/17/2014,2014
10,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,237,9,3/6/2013,2013
11,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,151,5,6/6/1997,1997
12,Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,94K,5,2/27/2016,2016
13,Amphibians,Multivariate,Classification,"Integer, Real",06K,68,10/17/2014,2014
14,Gait Classification,Multivariate,Classification,Real,13K,9,12/11/2016,2016
15,2D elastodynamic metamaterials,Tabular,Regression,N/A,322,5,3/19/2018,2018
16,Breast Tissue,Multivariate,Classification,Real,73K,9,3/30/2013,2013
17,Wave Energy Converters,Multivariate,Regression,Real,48K,533,12/3/2019,2019
18,Wireless Indoor Localization,Multivariate,Classification,Real,5M,18,2/11/2014,2014
19,Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,90,-,5/4/2022,2022
20,Speaker Accent Recognition,Multivariate,Classification,Real,14K,-,10/17/2011,2011
21,Swarm Behaviour,Multivariate,Classification,Real,501,13,2/18/2014,2014
22,Stock keeping units,Multivariate,Clustering,N/A,51K,1,11/26/2021,2021
23,Exasens,Multivariate,"Classification, Clustering",Real,546,9,9/22/2019,2019
24,Thoracic Surgery Data,Multivariate,Classification,,138,47,8/3/2012,2012
0,Legal Case Reports,Text,Classification,,-,-,10/18/2012,2012
1,"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,87K,4,4/15/2013,2013
2,Bengali Hate Speech Detection Dataset,Text,Classification,N/A,5K,-,4/23/2022,2022
3,Simulated data for survival modelling,"Multivariate, Time-Series",Regression,"Integer, Real",120K,25,12/3/2018,2018
4,Wheat kernels,Multivariate,Classification,Real,314,15,8/2/2020,2020
5,Grammatical Facial Expressions,"Multivariate, Sequential","Classification, Clustering",Real,97K,100,10/5/2014,2014
6,Breath Metabolomics,"Multivariate, Time-Series","Classification, Clustering",Real,104,-,11/7/2019,2019
7,APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60K,171,12/7/2017,2017
8,Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,51K,49,2/23/2015,2015
9,Multi-view Brain Networks,Multivariate,"Classification, Clustering",Integer,70,70,8/5/2020,2020
10,Arcene,Multivariate,Classification,Real,900,-,2/28/2008,2008
11,2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,84K,5,11/29/2018,2018
12,3W dataset,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",98K,8,8/14/2019,2019
13,Anticancer peptides,Sequential,Classification,N/A,85K,2,10/10/2019,2019
14,A study of Asian Religious and Biblical Texts,"Multivariate, Text","Classification, Clustering",Integer,590,-,12/23/2019,2019
15,BlogFeedback,Multivariate,Regression,"Integer, Real",02K,281,5/28/2014,2014
